,id,channel_name,title,keyword,published_at,VideoViews
0,cF24uzD9EMI,Ben Shapiro,Another Shooting at a Church in Houston,Shooting,2024-02-13T22:30:04Z,162443
1,VOkkGuOqQVY,Ben Shapiro,"Illegal Immigrants Pummel Cops, Walk Free",Immigration,2024-02-01T18:00:11Z,190787
2,p0lr2GE_tYc,Ben Shapiro,Pro-Life Protesters Arrested,Pro-life,2024-01-31T22:30:07Z,67120
3,re1nbhsUCE4,Ben Shapiro,"The ""Magic Word"" for Immigrants",Immigration,2024-01-31T20:00:21Z,107104
4,m0An8qb5jSs,Ben Shapiro,Biden's Immigration Policy,Immigration,2024-01-31T00:30:32Z,259543
5,sAKmcEMSYLo,Ben Shapiro,How to Get Rich,Rich,2024-01-28T20:00:25Z,514254
6,wDcTRo0DvzU,Ben Shapiro,Climate Change vs. Nuclear Warfare,Climate,2023-12-31T20:00:21Z,527527
7,cnh9dYmAPfY,Ben Shapiro,Biden’s Economy,Economy,2023-12-28T02:00:12Z,1341988
8,k4hga3Ahh08,Ben Shapiro,"Poor, Poor Hunter Biden",Poor,2023-12-14T18:00:09Z,148554
9,aWBLOqqAUTM,Ben Shapiro,Hamas Supporters Should Be Deported | @YAFTV,Deportation,2023-11-11T20:00:00Z,157939
10,rkDsCwbcKzo,Ben Shapiro,"Caravan Of Illegal Immigrants CHANT ""Biden!""",Immigration,2023-11-11T01:00:27Z,48523
11,Q35mm2J-K6I,Ben Shapiro,Ben Shuts Down Pro Abortion Student,Abortion,2023-11-04T19:10:55Z,669036
12,wxPtIua6neE,Ben Shapiro,This Is Why Jews Need Guns,Gun,2023-10-27T23:00:26Z,160142
13,E8EQzIrjigg,Ben Shapiro,A Shooting in Maine,Shooting,2023-10-26T21:30:01Z,311304
14,sVLIm8LrAgg,Ben Shapiro,Biden’s Car Crash Economy,Economy,2023-09-27T17:00:11Z,135182
15,mHKrE8nUXu8,Ben Shapiro,There's an Actual COLONY for Illegal Immigrants,Immigration,2023-09-20T23:00:21Z,101206
16,D4o2b4owypQ,Ben Shapiro,Zelenskyy Speaks Out About...Climate Change?,Climate,2023-09-20T21:00:06Z,41296
17,cevBEXhytbs,Ben Shapiro,New Mexico Governor Suspends People’s Right to Carry Guns,Gun,2023-09-11T21:00:13Z,101035
18,cevBEXhytbs,Ben Shapiro,New Mexico Governor Suspends People’s Right to Carry Guns,Mexico,2023-09-11T21:00:13Z,101035
19,1jOPgFBqN8g,Ben Shapiro,Biden Participates in COVID Theater,Covid,2023-09-09T21:00:02Z,94369
20,BGaHSP0GYc8,Ben Shapiro,Eric Adams Flip-Flops on Illegal Immigration,Immigration,2023-09-09T01:00:04Z,286340
21,ZlbgNVetuA8,Ben Shapiro,Climate Protestors Get BOOED At US Open,Climate,2023-09-08T23:00:35Z,153416
22,9YKacT3t5YY,Ben Shapiro,Jill Biden Has COVID,Covid,2023-09-06T21:30:01Z,148046
23,mBahW_UM2r8,Ben Shapiro,Democrats Blame Republicans For Latest White Supremacist Shooting Spree,Shooting,2023-08-29T17:00:09Z,164505
24,qDPk-EgLnmc,Ben Shapiro,A Comedian on Abortion,Abortion,2023-08-20T23:00:30Z,2218230
25,G9z9RnAgShg,Ben Shapiro,First Anniversary of Inflation Reduction Act,Inflation,2023-08-20T15:00:08Z,120281
26,jCntwYIHy5k,Ben Shapiro,The Chinese Economy Is About To Drag Us Down,Economy,2023-08-18T21:00:21Z,188397
27,9t9usd-oIUk,Ben Shapiro,Vegas and the Stock Market,Market,2023-08-17T01:00:06Z,410054
28,hQblL2zpuGE,Ben Shapiro,The Economy Isn't As Rosy As They Think,Economy,2023-08-10T21:30:05Z,127266
29,TKz4C5vR3UA,Ben Shapiro,The Economy Is Spiraling The Drain,Economy,2023-08-09T17:00:10Z,188670
30,dFugydLI2Pk,Ben Shapiro,Inflation Is Down 👀,Inflation,2023-07-13T21:27:59Z,277114
31,lit6n-nEKjI,Ben Shapiro,Pro-Life Comedian?,Pro-life,2023-06-20T00:15:01Z,13563889
32,0MokC95_ijI,Ben Shapiro,Musk and Rogan vs. The Biggest Covid Scientist,Covid,2023-06-19T17:00:09Z,291439
33,BYIe2fLLEYE,Ben Shapiro,Inflation Must Be Bad,Inflation,2023-06-05T23:00:04Z,917987
34,lOjGSHvwmEM,Ben Shapiro,"Shooting in Allen, TX",Shooting,2023-05-08T22:05:26Z,546913
35,JffURyCMJCk,Ben Shapiro,Democrats Answer to the Shooting,Shooting,2023-04-10T21:00:15Z,1188742
36,GmeYUrGiI7Q,Ben Shapiro,This Is the Worst Take on the Nashville Shooting,Shooting,2023-03-29T23:00:05Z,263238
37,uJa0Tw9H_9g,Ben Shapiro,Worst Take On Nashville Shooting,Shooting,2023-03-29T21:00:21Z,393932
38,1uFvrqKmMEQ,Ben Shapiro,Nashville Covenant School Shooting,Shooting,2023-03-28T22:12:19Z,939378
39,R8mUAySVaRA,Ben Shapiro,Is The Economy About To Meltdown?,Economy,2023-03-13T17:00:07Z,414230
40,FmqVgE4MKCk,Ben Shapiro,Katy Perry WEEPS Over Gun Control on 'American Idol',Gun,2023-02-28T22:30:02Z,195505
41,d9WK5FfTiaE,Ben Shapiro,"Biden’s America: Massive Inflation, Chinese Spy Balloons, And Exploding Trains | Ep. 1669",Inflation,2023-02-15T18:00:07Z,141303
42,1ETYfFg31UM,Ben Shapiro,The Priest Class of the New World Religion,Religion,2023-01-19T23:40:24Z,61449
43,Qo0ionyh4nE,Ben Shapiro,Biden Heads To The Border To Lie About Stopping Illegal Immigration | Ep. 1641,Immigration,2023-01-06T18:00:09Z,128469
44,JhurG8dcZoA,Ben Shapiro,You Know Inflation Is Bad When Cardi B Gets Involved,Inflation,2023-01-05T23:06:17Z,159656
45,aYBy8bq_Y-w,Ben Shapiro,Why China's Covid Tyranny Should Scare Us All | Ep. 1619,Covid,2022-11-29T18:00:10Z,188974
46,zCGUkOHN4QU,Ben Shapiro,5 Killed and 25 Injured in Tragic CO Springs Shooting,Shooting,2022-11-21T22:15:02Z,156599
47,PXpEOZaRQ5s,Ben Shapiro,Ben Shapiro REACTS to INSANE Woke Religion TikToks | Part 2,Religion,2022-10-29T16:00:19Z,1168785
48,VbWdz9L8PQc,Ben Shapiro,This Is Clearly Not About Climate Change.,Climate,2022-10-26T20:00:08Z,334849
49,DYPlXrqT5-E,Ben Shapiro,"They Lied About Covid, And Young People Paid The Price | Ep. 1596",Covid,2022-10-25T17:00:09Z,317097
50,uDRhXIXgHxQ,Ben Shapiro,Ben Shapiro REACTS to INSANE Woke Religion TikToks | Part 1,Religion,2022-10-08T17:00:36Z,2647976
51,3o-ridXTt8w,Ben Shapiro,This Is What the Left Doesn’t Understand About “Gun Crime”,Gun,2022-09-28T00:00:03Z,172476
52,cxrGfJfwOuA,Ben Shapiro,"To Push Abortion, The Left Promotes A Fetal Heartbeat Hoax | Ep. 1581",Abortion,2022-09-23T17:00:09Z,172084
53,j9sicDl-X8Y,Ben Shapiro,Responding to Chrissy Teigen's Viral Abortion Controversy,Abortion,2022-09-21T23:00:16Z,234327
54,PpEUXwFdtAU,Ben Shapiro,Lila Rose Breaks Down Her Viral Dr. Phil Abortion Debate,Abortion,2022-09-15T23:30:03Z,109682
55,6Te-0iSaccg,Ben Shapiro,DeSantis Sends Illegal Immigrants to Obama’s Neighborhood,Immigration,2022-09-15T22:30:00Z,238907
56,cB_2J8tePvg,Ben Shapiro,Leftists Love Illegal Immigrants...Until They Go To Martha's Vineyard | Ep. 1575,Immigration,2022-09-15T17:00:11Z,266694
57,Nz6yVnYiAgI,Ben Shapiro,Ben Reacts to Abortion Debate Between Dr. Phil and Lila Rose,Abortion,2022-09-14T22:30:02Z,457936
