channel,video_id,title,keyword,published_at,CommentId,CommentTitle,CommentCreationTime,CommentLikes
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgzQsECwsKjibvOjOOJ4AaABAg,He has terrorised us long enough this ignorant madman,2024-01-13T03:02:47Z,85
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgztIUk_t6fpXEezeWJ4AaABAg,"Democracy is a strange thing. 
With an informed electorate we have freedom of choice. 
But when it is taken over by irrational people it sinks into mob rule.  Let us hope that the rational people prevail in this election year.",2024-01-13T15:50:03Z,70
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgwP_pGGHJmho4C7P2V4AaABAg,"It reminds me of growing up in Georgia during the integration of schools. I had never gone to school with any student that was not white. My first black classmates were in 8th grade. I was privy to seeing a klan meeting 4th of July prior to the integration (spying on them from a hill with other kids) and seeing our Sheriff and many of my parents friends from business and church. The hatred that was spewed and fomented was frightening. I am feeling the same fear today as I listen to the rhetoric of the Republican party and the cult that surrounds it. I will be 69 in March and I am sickened by the reversal of so much of the hard work of all those for civil rights. We cannot let them win, we must vote blue down the line in order for our democracy to survive and flourish.",2024-01-13T02:30:34Z,165
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgyLSbA1iS_8WowBDsZ4AaABAg,Polls mean little at this stage and the mobster led last time and STILL LOST.,2024-01-13T13:58:41Z,41
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgzRa9T00dnTpb0TDht4AaABAg,I can understand a politician’s concern for his family’s safety and his own but if they are coerced into supporting Trump they need to get out of politics.,2024-01-13T03:07:52Z,246
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,Ugy4C8pGNm8wvOuOY9F4AaABAg,"Our politicians need more of a backbone.  I have been a police officer for 27 years.  I have faced countless threats to my and my family's safety because I was performing my job.  I have never, nor will I ever, allow these threats to influence me or cause me to disregard the oaths that I swore.  To those that threaten me I say, bring it.  Senators and Congress members should say the same and stop clutching their pearls.",2024-01-14T14:04:15Z,9
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,Ugz3xqApNCR9MEviatR4AaABAg,"One of the co-founders of the Lincoln Project, was swatted over the weekend. He said his family was terrified and now he's offering a reward to catch whomever made the call.",2024-01-13T02:18:42Z,23
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgwBsxk2l_kmFEC6MWN4AaABAg,There is more warmth in this Iowan snow than there is in the heart of the maga-gop. 😢,2024-01-13T04:33:44Z,41
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgzoP4gZSikRauNanOl4AaABAg,Hold the people doing the intimidation accountable.,2024-01-13T01:49:21Z,150
MSNBC,NRUHm_DPTXQ,‘Terror as a tactic’: Threat of MAGA mob looms over 2024 Republican primary,Terrorism,2024-01-13T01:40:58Z,UgzM7cIMmYXxA5uc1AB4AaABAg,House Republicans have opened an official inquiry into whether or not Democrats made it snow in Iowa.,2024-01-13T01:46:34Z,294
